B000001,3/2/2018 4:42:20 PM,PRETEST,,,,,,Temperature,Dewpoint,Pressure,RH
,,A0,,,101.852700,,,22.062500,11.435667,99.760002,50.903000
,,B1,,,,96.426100,=C9+(G3-(F2+F4)/2),22.068001,11.454333,99.757004,50.949001
,,A1,,,101.852400,,,22.077833,11.474167,99.755997,50.984001
,,B2,,,,96.418800,=C9+(G5-(F4+F6)/2),22.090666,11.487833,99.761002,50.989666
,,A2,,,101.853000,,,22.105499,11.485167,99.763000,50.934502
,,B3,,,,96.419400,=C9+(G7-(F6+F8)/2),22.118834,11.463333,99.764999,50.820000
,,A3,,,101.853900,,,22.130333,11.436167,99.764000,50.694168
,,100.000000
,,Mean (mg):,=AVERAGE(H2:H8)
,,St. Dev. (µg):,,=STDEV(H2:H8)*1000

B000009,3/2/2018 5:04:57 PM,PRETEST,,,,,,Temperature,Dewpoint,Pressure,RH
,,A0,,,101.852800,,,22.209167,11.445167,99.766998,50.480335
,,B1,,,,95.209700,=C21+(G15-(F14+F16)/2),22.216499,11.456833,99.766998,50.496166
,,A1,,,101.853200,,,22.223167,11.437333,99.765999,50.409832
,,B2,,,,95.208900,=C21+(G17-(F16+F18)/2),22.228001,11.417500,99.766998,50.329498
,,A2,,,101.853300,,,22.231167,11.425167,99.760002,50.345501
,,B3,,,,95.209600,=C21+(G19-(F18+F20)/2),22.233833,11.422000,99.761002,50.327667
,,A3,,,101.853100,,,22.235001,11.423667,99.755997,50.329498
,,100.000000
,,Mean (mg):,=AVERAGE(H14:H20)
,,St. Dev. (µg):,,=STDEV(H14:H20)*1000

B000015,3/2/2018 4:53:39 PM,PRETEST,,,,,,Temperature,Dewpoint,Pressure,RH
,,A0,,,101.852700,,,22.147333,11.426833,99.766998,50.609665
,,B1,,,,95.790300,=C45+(G39-(F38+F40)/2),22.156834,11.449833,99.765999,50.656834
,,A1,,,101.853300,,,22.166166,11.464833,99.767998,50.678501
,,B2,,,,95.790600,=C45+(G41-(F40+F42)/2),22.176666,11.464000,99.767998,50.644665
,,A2,,,101.853800,,,22.186832,11.441500,99.769997,50.540501
,,B3,,,,95.790800,=C45+(G43-(F42+F44)/2),22.194334,11.418167,99.764999,50.437668
,,A3,,,101.854100,,,22.200333,11.415833,99.766998,50.411667
,,100.000000
,,Mean (mg):,=AVERAGE(H38:H44)
,,St. Dev. (µg):,,=STDEV(H38:H44)*1000

B000012,3/2/2018 5:16:40 PM,PRETEST,,,,,,Temperature,Dewpoint,Pressure,RH
,,A0,,,101.850100,,,22.233999,11.399167,99.750999,50.250168
,,B1,,,,95.409900,=C33+(G27-(F26+F28)/2),22.232500,11.398500,99.750999,50.252499
,,A1,,,101.850300,,,22.231001,11.407000,99.750999,50.285831
,,B2,,,,95.409200,=C33+(G29-(F28+F30)/2),22.229000,11.411667,99.750999,50.307335
,,A2,,,101.850300,,,22.226334,11.412167,99.751999,50.317333
,,B3,,,,95.409100,=C33+(G31-(F30+F32)/2),22.223667,11.414667,99.750000,50.332333
,,A3,,,101.850100,,,22.221167,11.415167,99.750999,50.341499
,,100.000000
,,Mean (mg):,=AVERAGE(H26:H32)
,,St. Dev. (µg):,,=STDEV(H26:H32)*1000

