Time [Hr:Min:Sec],Neph [ug/cm^3]
13:04:10,2.924
13:04:20,5.851
13:04:30,5.846
13:04:40,5.855
13:04:50,5.845
13:05:00,5.847
13:05:10,5.847
13:05:20,5.852
13:05:30,5.846
13:05:40,5.85
13:05:50,5.844
13:06:00,8.767
13:06:10,5.85
13:06:20,8.773
13:06:30,8.775
13:06:40,5.841
13:06:50,2.924
13:07:00,8.77
13:07:10,5.847
13:07:20,8.764
13:07:30,5.844
13:07:40,11.711
13:07:50,5.846
13:08:00,2.919
13:08:10,8.769
13:08:20,8.767
13:08:30,17.517
13:08:40,5.85
13:08:50,20.454
13:09:00,14.602
13:09:10,17.526
13:09:20,5.836
13:09:30,2.919
13:09:40,14.6
13:09:50,14.597
13:10:00,14.585
13:10:10,8.757
13:10:20,5.832
13:10:30,5.838
13:10:40,17.518
13:10:50,8.751
13:11:00,11.676
13:11:10,11.676
13:11:20,5.836
13:11:30,17.501
13:11:40,8.751
13:11:50,5.83
13:12:00,5.831
13:12:10,8.743
13:12:20,11.663
13:12:30,5.836
13:12:40,11.648
13:12:50,8.747
13:13:00,8.737
13:13:10,8.738
13:13:20,11.665
13:13:30,17.488
13:13:40,11.648
13:13:50,14.558
13:14:00,14.564
13:14:10,8.747
13:14:20,14.559
13:14:30,8.732
13:14:40,8.735
13:14:50,14.555
13:15:00,17.484
13:15:10,14.544
13:15:20,14.568
13:15:30,17.472
13:15:40,11.654
13:15:50,17.482
13:16:00,14.589
13:16:10,17.464
13:16:20,26.191
13:16:30,14.562
13:16:40,5.824
13:16:50,5.824
13:17:00,11.636
13:17:10,11.642
13:17:20,11.635
13:17:30,8.725
13:17:40,5.822
13:17:50,14.548
13:18:00,14.544
13:18:10,8.731
13:18:20,14.553
13:18:30,14.553
13:18:40,14.556
13:18:50,14.553
13:19:00,11.642
13:19:10,29.063
13:19:20,20.344
13:19:30,11.635
13:19:40,11.638
13:19:50,11.622
13:20:00,14.549
13:20:10,8.717
13:20:20,17.453
13:20:30,29.054
13:20:40,23.236
13:20:50,14.541
13:21:00,17.449
13:21:10,29.031
13:21:20,11.62
13:21:30,14.521
13:21:40,11.619
13:21:50,14.523
13:22:00,8.715
13:22:10,8.714
13:22:20,20.316
13:22:30,69.723
13:22:40,78.476
13:22:50,29.071
13:23:00,31.969
13:23:10,20.328
13:23:20,20.344
13:23:30,20.322
13:23:40,20.322
13:23:50,29.054
13:24:00,20.326
13:24:10,26.146
13:24:20,23.243
13:24:30,20.297
13:24:40,26.136
13:24:50,26.123
13:25:00,20.306
13:25:10,23.223
13:25:20,26.138
13:25:30,20.322
13:25:40,20.304
13:25:50,20.306
13:26:00,23.209
13:26:10,29.011
13:26:20,34.806
13:26:30,23.227
13:26:40,20.297
13:26:50,20.324
13:27:00,20.314
13:27:10,20.324
13:27:20,17.401
13:27:30,29.025
13:27:40,23.204
13:27:50,28.99
13:28:00,17.42
13:28:10,17.412
13:28:20,17.396
13:28:30,20.322
13:28:40,31.925
13:28:50,17.394
13:29:00,17.398
13:29:10,17.396
13:29:20,20.318
13:29:30,14.503
13:29:40,17.414
13:29:50,20.293
13:30:00,14.494
13:30:10,17.394
13:30:20,17.387
13:30:30,17.394
13:30:40,14.508
13:30:50,14.513
13:31:00,14.48
13:31:10,17.405
13:31:20,49.328
13:31:30,14.497
13:31:40,14.501
13:31:50,14.504
13:32:00,17.41
13:32:10,14.501
13:32:20,11.596
13:32:30,14.5
13:32:40,69.548
13:32:50,14.488
13:33:00,14.503
13:33:10,11.602
13:33:20,17.385
13:33:30,14.485
13:33:40,17.385
13:33:50,17.382
13:34:00,20.266
13:34:10,20.295
13:34:20,17.383
13:34:30,17.391
13:34:40,14.497
13:34:50,17.378
13:35:00,17.385
